,Aging,Years After,Proportion Retention,Average Retentoion,Average Evaluation Score,Evaluation Fail Count
0,0,0,1.0,0.0,47.736674892811244,88
1,0,5,1.0,5.0,94.8732931831941,27
2,0,10,0.8333333333333334,9.166666666666666,94.67099368472182,31
3,0,15,0.8333333333333334,13.333333333333334,94.45288528176634,25
4,5,0,1.0,0.0,47.554662662329264,87
5,5,5,0.8461538461538461,4.230769230769231,94.81337241790978,31
6,5,10,0.8461538461538461,8.461538461538462,94.51747035871847,26
7,5,15,0.7692307692307693,12.307692307692308,94.26433454430774,28
8,10,0,1.0,0.0,47.35668139097922,87
9,10,5,1.0,5.0,94.32099981563265,28
10,10,10,0.9230769230769231,9.615384615384615,93.94069802608135,29
11,10,15,0.8461538461538461,13.846153846153847,93.56871773138312,37
12,15,0,1.0,0.0,46.81941137213657,86
13,15,5,0.9285714285714286,4.642857142857143,94.19623348371,29
14,15,10,0.8571428571428571,8.928571428571429,93.9063623247884,36
15,15,15,0.7142857142857143,12.5,93.55663358423492,43
