,Aging,Years After,Proportion Retention,Average Retentoion,Average Evaluation Score,Evaluation Fail Count
0,0,0,1.0,0.0,74.0574082479779,25
1,0,5,0.96,4.8,75.0812679282239,22
2,0,10,0.92,9.4,74.31183466905784,20
3,0,15,0.84,13.6,73.67517654112284,24
4,5,0,1.0,0.0,72.86275073186187,29
5,5,5,1.0,5.0,74.24187388827082,18
6,5,10,0.9436619718309859,9.71830985915493,73.38382336695523,21
7,5,15,0.8450704225352113,13.943661971830986,72.71026709852417,28
8,10,0,1.0,0.0,71.81000385712487,26
9,10,5,0.9459459459459459,4.72972972972973,72.9600724453972,22
10,10,10,0.8513513513513513,8.986486486486486,72.29076704161785,29
11,10,15,0.7567567567567568,12.77027027027027,71.65833444621354,36
12,15,0,1.0,0.0,70.52367455783445,34
13,15,5,0.9545454545454546,4.7727272727272725,71.84544194360542,29
14,15,10,0.8939393939393939,9.242424242424242,71.26544072634054,35
15,15,15,0.7878787878787878,13.181818181818182,70.73405868450175,45
