,Aging,Years After,Proportion Retention,Average Retentoion,Average Evaluation Score,Evaluation Fail Count
0,0,0,1.0,0.0,65.60991907961447,56
1,0,5,0.8863636363636364,4.431818181818182,70.11955502909474,51
2,0,10,0.8863636363636364,8.863636363636363,69.1786453849074,49
3,0,15,0.8409090909090909,13.068181818181818,67.91025461905522,41
4,5,0,1.0,0.0,64.47864514248326,63
5,5,5,0.9459459459459459,4.72972972972973,68.9493778591478,52
6,5,10,0.8918918918918919,9.18918918918919,67.83965059703752,45
7,5,15,0.8918918918918919,13.64864864864865,66.73028326767323,46
8,10,0,1.0,0.0,63.083401328457775,65
9,10,5,0.9428571428571428,4.714285714285714,67.66458881207522,45
10,10,10,0.9142857142857143,9.285714285714286,66.4414780343091,48
11,10,15,0.8571428571428571,13.571428571428571,65.19132042480072,53
12,15,0,1.0,0.0,62.19801419399264,59
13,15,5,0.975609756097561,4.878048780487805,66.47534653939677,48
14,15,10,0.975609756097561,9.75609756097561,65.4190495019415,55
15,15,15,0.975609756097561,14.634146341463415,64.07796786400688,58
