,Aging,Years After,Proportion Retention,Average Retentoion,Average Evaluation Score,Evaluation Fail Count
0,0,0,1.0,0.0,72.84888492268922,44
1,0,5,0.9107142857142857,4.553571428571429,75.40847654257917,36
2,0,10,0.8214285714285714,8.660714285714286,74.25670651169624,41
3,0,15,0.7678571428571429,12.5,72.85905312418892,36
4,5,0,1.0,0.0,71.32651315752311,46
5,5,5,0.9629629629629629,4.814814814814815,74.17430783590099,38
6,5,10,0.9074074074074074,9.351851851851851,72.8389494705695,36
7,5,15,0.8333333333333334,13.518518518518519,71.53679488195357,37
8,10,0,1.0,0.0,69.73131069250087,51
9,10,5,0.9795918367346939,4.8979591836734695,72.40942522314317,36
10,10,10,0.9183673469387755,9.489795918367347,71.05683718187595,37
11,10,15,0.8367346938775511,13.673469387755102,69.76698829491342,44
12,15,0,1.0,0.0,68.28601369659461,49
13,15,5,0.9607843137254902,4.803921568627451,71.03822326165692,36
14,15,10,0.9019607843137255,9.313725490196079,69.82036159626303,43
15,15,15,0.803921568627451,13.333333333333334,68.52585955305182,53
